epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8166.81,0.6108,0.3099,0.86847,0.94035,0.8891,0.93753,0.71448,0.51033,0.28668,0.84725,0.00121591,0.00121591,0.00121591
43,8346.45,0.594,0.30592,0.86376,0.93642,0.88338,0.93915,0.72764,0.52892,0.29049,0.85212,0.00120491,0.00120491,0.00120491
44,8665.86,0.60535,0.31568,0.86804,0.95866,0.86528,0.9232,0.69373,0.52675,0.29963,0.85095,0.00119391,0.00119391,0.00119391
45,8897.25,0.59597,0.31053,0.86292,0.9567,0.89072,0.94121,0.71247,0.52703,0.30191,0.85124,0.0011829,0.0011829,0.0011829
46,9009.98,0.5971,0.30902,0.86207,0.96879,0.86524,0.93854,0.73207,0.526,0.29698,0.85075,0.0011719,0.0011719,0.0011719
47,9205.77,0.5936,0.31206,0.86212,0.95796,0.87416,0.93099,0.70873,0.51105,0.28485,0.84697,0.0011609,0.0011609,0.0011609
48,9483.19,0.59699,0.31147,0.86158,0.95198,0.86519,0.92975,0.70888,0.51955,0.2885,0.85038,0.0011499,0.0011499,0.0011499
49,9607.02,0.58876,0.30219,0.85808,0.96743,0.86333,0.9355,0.72099,0.52523,0.28246,0.85446,0.00113889,0.00113889,0.00113889
50,9730,0.59803,0.30623,0.8625,0.95207,0.8599,0.92615,0.70313,0.51813,0.28009,0.85342,0.00112789,0.00112789,0.00112789
51,9884.5,0.5974,0.30676,0.86118,0.94032,0.88727,0.93218,0.7146,0.52249,0.28169,0.85037,0.00111689,0.00111689,0.00111689
52,10100.1,0.59546,0.3042,0.85854,0.96212,0.84939,0.92956,0.70731,0.53346,0.2868,0.85066,0.00110589,0.00110589,0.00110589
53,10248.4,0.57892,0.2958,0.85572,0.93785,0.87452,0.92849,0.71933,0.50181,0.27276,0.84453,0.00109489,0.00109489,0.00109489
54,10537.2,0.57847,0.29615,0.85555,0.92863,0.87807,0.93327,0.73146,0.52033,0.27551,0.85029,0.00108388,0.00108388,0.00108388
55,10737.9,0.57286,0.29704,0.85883,0.96363,0.85858,0.93085,0.72364,0.51057,0.27932,0.84965,0.00107288,0.00107288,0.00107288
56,10875.8,0.58125,0.29556,0.85819,0.96556,0.86579,0.93476,0.71721,0.52112,0.27871,0.84819,0.00106188,0.00106188,0.00106188
57,11121.6,0.57607,0.29303,0.85524,0.95689,0.85424,0.92422,0.72538,0.51579,0.28668,0.84953,0.00105088,0.00105088,0.00105088
58,11299.2,0.56838,0.28999,0.85383,0.96177,0.86288,0.93716,0.72914,0.50954,0.27307,0.84616,0.00103987,0.00103987,0.00103987
59,11497.6,0.56942,0.2893,0.85499,0.94334,0.90143,0.93404,0.72057,0.50718,0.27524,0.84858,0.00102887,0.00102887,0.00102887
60,11837.4,0.56607,0.28521,0.8552,0.94269,0.87186,0.91964,0.71334,0.51172,0.27494,0.85177,0.00101787,0.00101787,0.00101787
61,11982.6,0.55387,0.28532,0.84947,0.96393,0.86492,0.93351,0.72262,0.52145,0.27826,0.85632,0.00100687,0.00100687,0.00100687
62,12214,0.57051,0.29423,0.85299,0.93847,0.88653,0.93341,0.7177,0.52115,0.27886,0.8478,0.000995866,0.000995866,0.000995866
63,12469.4,0.57616,0.29561,0.85499,0.96129,0.87715,0.93345,0.72084,0.50738,0.27378,0.84757,0.000984864,0.000984864,0.000984864
64,12812.5,0.5507,0.28593,0.8457,0.94128,0.8946,0.9325,0.72243,0.51655,0.27719,0.84884,0.000973861,0.000973861,0.000973861
65,12915.3,0.55043,0.27983,0.84986,0.94556,0.88127,0.94386,0.73862,0.51273,0.26709,0.84558,0.000962859,0.000962859,0.000962859
66,13025.8,0.54201,0.27688,0.84111,0.95529,0.88614,0.94144,0.7283,0.49469,0.26446,0.84607,0.000951857,0.000951857,0.000951857
67,13212.3,0.56717,0.28484,0.84843,0.94234,0.89013,0.94372,0.73147,0.51167,0.27575,0.85127,0.000940855,0.000940855,0.000940855
68,13583.1,0.55314,0.27789,0.84566,0.96518,0.89069,0.94245,0.7385,0.51429,0.27061,0.84831,0.000929853,0.000929853,0.000929853
69,13782.2,0.54124,0.27492,0.84571,0.96215,0.88064,0.94205,0.72916,0.50544,0.26665,0.85183,0.00091885,0.00091885,0.00091885
70,14143.5,0.54209,0.26999,0.84424,0.93025,0.91361,0.94065,0.74177,0.51394,0.26631,0.85003,0.000907848,0.000907848,0.000907848
71,14344.8,0.53541,0.27167,0.84074,0.94421,0.87801,0.94081,0.73401,0.50527,0.26838,0.84871,0.000896846,0.000896846,0.000896846
72,14565.1,0.52935,0.27018,0.83832,0.94356,0.88886,0.94581,0.72829,0.52971,0.27284,0.85002,0.000885844,0.000885844,0.000885844
73,14658.6,0.53267,0.27226,0.83849,0.94626,0.8836,0.94076,0.71308,0.53686,0.27883,0.85216,0.000874842,0.000874842,0.000874842
