epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.617,1.04088,1.02765,1.03266,0.75287,0.71641,0.73285,0.46356,0.94368,0.82677,1.04676,0.000546406,0.000546406,0.000546406
2,275.812,1.04267,0.76991,1.05478,0.82482,0.76032,0.78335,0.47666,1.00582,0.83553,1.0843,0.0010948,0.0010948,0.0010948
3,392.264,1.09799,0.76028,1.05615,0.83179,0.65058,0.73532,0.4503,1.01646,0.92616,1.09064,0.00163586,0.00163586,0.00163586
4,560.1,1.12679,0.73959,1.10491,0.93942,0.42682,0.66031,0.38567,0.9966,1.03836,1.08669,0.00163399,0.00163399,0.00163399
5,632.983,1.05401,0.70478,1.06944,0.90339,0.70355,0.77891,0.48721,0.90679,0.77708,1.06271,0.00162299,0.00162299,0.00162299
6,766.406,0.99946,0.65352,1.04206,0.86139,0.70586,0.79849,0.49881,0.92741,0.6034,1.04009,0.00161199,0.00161199,0.00161199
7,859.297,0.97696,0.61589,1.0245,0.88369,0.71604,0.81371,0.51447,0.88777,0.55838,1.03012,0.00160099,0.00160099,0.00160099
8,948.658,0.98142,0.61799,1.02582,0.75872,0.75082,0.78655,0.45517,1.08051,0.61993,1.08946,0.00158998,0.00158998,0.00158998
9,1032.9,1.03322,0.62333,1.0394,0.82487,0.73002,0.78631,0.51772,0.91241,0.53763,1.03069,0.00157898,0.00157898,0.00157898
10,1075.09,0.98635,0.58675,1.02356,0.88516,0.74614,0.80407,0.52704,0.85722,0.51291,1.01887,0.00156798,0.00156798,0.00156798
11,1184.02,0.93649,0.5597,1.01651,0.85691,0.7544,0.80506,0.51344,0.89126,0.50847,1.02336,0.00155698,0.00155698,0.00155698
12,1266.38,0.92266,0.55001,1.01461,0.85476,0.79278,0.83929,0.53517,0.86525,0.5125,1.00892,0.00154598,0.00154598,0.00154598
13,1360.16,0.89745,0.52676,0.99233,0.84763,0.75263,0.79863,0.51192,0.9992,0.52066,1.05262,0.00153497,0.00153497,0.00153497
14,1478.41,0.96428,0.55887,1.02062,0.88643,0.73989,0.81793,0.52607,0.88543,0.51391,1.02555,0.00152397,0.00152397,0.00152397
15,1603.99,0.90027,0.52392,1.00101,0.89795,0.75196,0.8395,0.53152,0.87826,0.50581,1.0171,0.00151297,0.00151297,0.00151297
16,1703.26,0.91585,0.55297,0.99334,0.86397,0.76621,0.82139,0.53193,0.8806,0.5082,1.01802,0.00150197,0.00150197,0.00150197
